PAST_3_SHOOTING_HOME,PAST_10_SHOOTING_HOME,PAST_3_FT_HOME,PAST_10_FT_HOME,PAST_3_REB_HOME,PAST_10_REB_HOME,PAST_3_TOV_PCT_HOME,PAST_10_TOV_PCT_HOME,PAST_3_PTS_HOME,PAST_10_PTS_HOME,PAST_3_SHOOTING_AWAY,PAST_10_SHOOTING_AWAY,PAST_3_FT_AWAY,PAST_10_FT_AWAY,PAST_3_REB_AWAY,PAST_10_REB_AWAY,PAST_3_TOV_PCT_AWAY,PAST_10_TOV_PCT_AWAY,PAST_3_PTS_AWAY,PAST_10_PTS_AWAY,WL_HOME
0.464125561,0.513681592,0.197309417,0.19278607,43.33333333,41.9,0.143963983,0.109975123,83.66666667,98.1,0.483539095,0.501896334,0.263374486,0.225031606,41.33333333,43.8,0.101716781,0.11272771,99.66666667,97.2,L
0.48627451,0.510012516,0.176470588,0.224030038,42,40.8,0.10042128,0.112189206,97.66666667,99.4,0.460580913,0.481806775,0.195020747,0.220828105,41,41.9,0.071399429,0.101945267,89.66666667,94.4,W
0.526431718,0.537517053,0.264317181,0.296043656,37.33333333,37.8,0.086739673,0.12141856,99.66666667,100.5,0.514112903,0.493116395,0.310483871,0.2640801,44.66666667,42.7,0.110786347,0.115323201,110.6666667,99.9,W
0.421933086,0.501218027,0.211895911,0.278928136,45.66666667,41,0.114238713,0.108094594,94.66666667,105.2,0.484435798,0.492840095,0.307392996,0.227923628,49.66666667,44,0.108148671,0.110252005,109.3333333,101.7,L
0.45703125,0.475866337,0.18359375,0.219059406,43.66666667,39.3,0.070075391,0.089545385,93.66666667,94.6,0.549603175,0.467964824,0.261904762,0.26758794,40.33333333,43.2,0.103113032,0.129831809,114.3333333,95.8,L
0.533464567,0.496886675,0.216535433,0.217932752,39.66666667,43.1,0.108491962,0.114589575,108.6666667,97.3,0.5256917,0.457393484,0.276679842,0.27443609,43.66666667,44.2,0.095991759,0.126578595,112,94.9,W
0.443983402,0.45765878,0.261410788,0.195516812,40,40.5,0.092564795,0.119639242,92.33333333,89.2,0.463829787,0.489240506,0.293617021,0.243037975,39.33333333,41.3,0.114364135,0.122128835,95.66666667,96.5,W
0.516064257,0.457124842,0.240963855,0.261034048,31.33333333,40.5,0.108787943,0.132059525,105.6666667,93.2,0.477911647,0.496143959,0.212851406,0.269922879,45.33333333,40.9,0.093399751,0.106925732,97,98.2,L
0.5,0.488664987,0.255144033,0.246851385,38,40.7,0.128349933,0.120633668,101.6666667,97.2,0.516666667,0.484510533,0.2125,0.262701363,39.33333333,42.5,0.112785809,0.110398022,99.66666667,99.4,W
0.47107438,0.518891688,0.243801653,0.29093199,43.33333333,40.3,0.128955461,0.112412107,95.66666667,105.5,0.463829787,0.489240506,0.293617021,0.243037975,39.33333333,41.3,0.114364135,0.122128835,95.66666667,96.5,L
0.473913043,0.492356688,0.165217391,0.214012739,36.33333333,41.2,0.090420868,0.104583205,85.33333333,94.1,0.484790875,0.472805933,0.19391635,0.252163164,46,43.1,0.100504862,0.128665118,102,96.9,W
0.470319635,0.515625,0.223744292,0.2,41.33333333,41.3,0.13376137,0.106850653,85,98.5,0.532188841,0.515272244,0.309012876,0.325365206,44.33333333,41.9,0.094816688,0.107332075,106.6666667,102.1,W
0.538934426,0.521197007,0.172131148,0.220698254,39,40.4,0.095944404,0.109349371,101.6666667,101.3,0.536324786,0.510309278,0.196581197,0.229381443,42,41,0.144434128,0.129541669,99,97,W
